Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age in Days
A814515,Quentin,05/06/2020 07:59:00 AM,May 2020,03/01/2018,Adoption,Foster,2,2,2 years,American Foxhound/Labrador Retriever,White/Brown,0.15151515151515152
A843327,*Mary,10/08/2021 01:25:00 PM,Oct 2021,09/29/2019,Transfer,Out State,2,0,2 years,Chihuahua Shorthair Mix,Black/White,0.15151515151515152
A803149,*Birch,08/31/2019 04:26:00 PM,Aug 2019,08/08/2019,Transfer,Partner,1,1,3 weeks,Domestic Shorthair,Brown Tabby,0.09265255292652554
A698049,Luigi,03/16/2015 02:50:00 PM,Mar 2015,06/05/2014,Transfer,Partner,1,3,9 months,Domestic Medium Hair Mix,Black/White,0.11332503113325032
A822928,*Primrose,01/24/2022 11:49:00 AM,Jan 2022,09/15/2010,Adoption,Foster,1,3,11 years,Domestic Shorthair,Torbie,0.4242424242424243
A878380,A878380,04/15/2023 10:15:00 AM,Apr 2023,04/11/2021,Euthanasia,Suffering,1,1,2 years,Siamese Mix,Lilac Point,0.15151515151515152
A765349,Einstein,06/08/2018 01:04:00 PM,Jun 2018,01/18/2009,Adoption,Foster,2,2,9 years,Chihuahua Shorthair Mix,Tricolor,0.36363636363636365
A760697,Star,10/26/2017 03:22:00 PM,Oct 2017,10/23/2007,Transfer,Partner,2,1,10 years,Yorkshire Terrier Mix,Brown/Black,0.3939393939393939
A812473,Theodore Nubbins,03/05/2020 04:15:00 PM,Mar 2020,01/26/2010,Adoption,Foster,2,2,10 years,Chihuahua Shorthair,Brown,0.3939393939393939
A789298,*Mr Wrinkles,04/23/2019 11:59:00 AM,Apr 2019,02/15/2019,Adoption,Foster,2,2,2 months,Labrador Retriever Mix,Brown/White,0.09589041095890412
A851472,A851472,02/17/2022 12:46:00 PM,Feb 2022,09/13/2020,Transfer,Partner,2,1,1 year,Cairn Terrier Mix,Tan/White,0.12121212121212122
A805930,*Rachel,11/08/2019 06:37:00 PM,Nov 2019,09/11/2019,Adoption,Foster,2,3,1 month,Border Collie Mix,Chocolate/White,0.09339975093399751
A672423,Valentine,02/14/2014 11:44:00 AM,Feb 2014,02/10/2002,Transfer,Partner,2,3,12 years,Collie Rough Mix,Red,0.4545454545454546
A777234,Tyson,01/02/2019 12:00:00 AM,Jan 2019,11/25/2017,Transfer,Partner,2,2,1 year,Pit Bull Mix,Blue/White,0.12121212121212122
A851434,Taco Bell,02/13/2022 01:15:00 PM,Feb 2022,02/12/2010,Transfer,Partner,2,2,12 years,Chihuahua Shorthair,Fawn/Tan,0.4545454545454546
A884309,*Boris,08/24/2023 06:04:00 PM,Aug 2023,07/01/2015,Adoption,Foster,2,2,8 years,Labrador Retriever,Brown/White,0.33333333333333337
A802723,*Linguine,09/20/2019 06:27:00 PM,Sep 2019,07/09/2019,Adoption,Foster,2,3,2 months,Miniature Poodle Mix,Tan,0.09589041095890412
A705205,*Dell,06/20/2015 04:25:00 PM,Jun 2015,03/30/2015,Adoption,Offsite,1,2,2 months,Domestic Shorthair Mix,White/Blue Tabby,0.09589041095890412
A767796,*Koko,06/20/2019 02:18:00 PM,Jun 2019,12/06/2017,Transfer,Partner,2,3,1 year,American Pit Bull Terrier Mix,Brown/White,0.12121212121212122
A781976,*Fancy,10/16/2018 02:25:00 PM,Oct 2018,10/08/2017,Transfer,Partner,2,0,1 year,German Shepherd Mix,White,0.12121212121212122
A859541,A859541,06/20/2022 08:39:00 PM,Jun 2022,06/08/2022,Died,In Kennel,2,0,1 weeks,German Shepherd Mix,Black/Brown,0.09149024491490246
A686459,*Lovey,09/21/2014 05:39:00 PM,Sep 2014,07/15/2014,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Tortie,0.09589041095890412
A887610,A887610,09/12/2023 05:14:00 PM,Sep 2023,06/16/2023,Adoption,Foster,1,2,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A679096,Copper,12/22/2015 11:50:00 AM,Dec 2015,05/16/2007,Adoption,Foster,2,2,8 years,Miniature Pinscher Mix,Red,0.33333333333333337
A833513,*Lemmy,05/13/2021 01:15:00 PM,May 2021,05/01/2011,Transfer,Partner,1,2,10 years,Domestic Shorthair,Brown Tabby,0.3939393939393939
A827385,Mittens,01/27/2021 08:51:00 AM,Jan 2021,12/20/2019,Adoption,Foster,1,3,1 year,Domestic Shorthair,Blue Tabby/White,0.12121212121212122
